ref_no,Distribution and Delivery,TV Everywhere,Post Production,Management and Systems,Product Description,Acquisition / Production,Product Image,Internet of Things (IoT),Enterprise / Mobility Solutions,Smart Cities,Cloud / Big Data / Data Centre,Security / Cyber-Security,eSports,Broadband & Infrastructure,Group,Country,booth_no,Others,company_desc,company_name,company_url,Professional Audio / Radio,Connect Everywhere,Product Name,Exhibit Sector,SatComm,Digital Display,show
2019CTA-000160,"4K / UHD / HDR;Connected / Digital / Smart TV Solutions;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Video Transport;",,,Video / Content Servers / Video Processing;Playout / Transmission;,"Awarded Best Video Player/SDK Solution for the last three years, THEOplayer provides a single HLS/MPEG-DASH video player that works seamlessly across Web, Mobile Web, Native Apps, Smart TVs, streaming devices and other connected devices. Making it simpler to deliver a quality experience to viewers, regardless of the device. THEOplayer is pre-integrated with most popular streaming, analytics, DRM and advertising solutions. Delivering a simpler and more cost-efficient solution to design, build, maintain and upgrade your video streaming infrastructure. ;",,;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,BELGIUM,6M4-08,,"THEO Technologies is at the forefront of a rapidly evolving online video landscape, delivering a high-quality video experience across platforms and devices. THEOplayer, THEO Technologies' flagship product, integrates seamlessly with every aspect of the video chain. THEO Technologies empowers publishers, telcos and broadcasters to deliver a cutting-edge video experience to their audiences. With a strong focus on user experience, performance and cross-platform compatibility, THEO Technologies is delivering world-class video streaming for a global customer base.",THEO TECHNOLOGIES NV,,,,THEOplayer;,BCA;,,,2019CTA
2019CTA-000273,4K / UHD / HDR;Cable and Satellite;Connected / Digital / Smart TV Solutions;Digital Video Broadcasting (DVB);DTV / HDTV;Encoder / Decoder;Test & Measurement Equipment and Solutions;Video on Demand;Workflow Software and Solutions – Distributions;,,CG Animation;Video Editing;Format Conversion;Motion Graphics ;Graphics Subtitling and Captioning;System Integration – Post Production;Workflow Software and Solutions – Post Production;,Cloud;Content Security / Right Management;IP Broadcasting;IT / Networking Infrastructure & Security;Newsroom Automation / TV Automation Systems;Workflow Software and Solutions – Management & Systems;Signal Management & Processing;Systems Integration - Management & Systems;Video / Content Servers / Video Processing;Playout / Transmission;,"Cedar provides a whole range of broadcast, audio visual, video and audio conferencing, voice recording solutions and technical services as well as undertake system design and integration services, project management and local installation.;",4K / UHD / HDR;Cable /  Connector;Cameras / Lenses / Tripods / Crane;News / Weather / Traffic Services;Video / TV Display / Multi Viewers;Live Production;Workflow Software and Solutions – Acquisition;Production Switchers;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190306000519734.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,MALAYSIA,6D3-01,,"Cedar was founded by a group of highly competent broadcast and communications professionals with more than 20 years experience in the industry. Since its incorporation in 2005, cedar has successfully penetrated into the private and government sectors, providing its solutions and services.",CEDAR BROADCAST & COMMUNICATIONS (M) SDN BHD,,Audio Codecs;Audio Microphones & Headphones;Audio Mixer / Consoles / Modulator;Audio Production / Networks / Process;DAB / DAB  / DMB;Intercom / Talkback;Loudness Compliance;Playout;Radio Automation Systems / Master Control;System Integration – Professional Audio / Radio;,, SYSTEM DESIGN AND INTEGRATION SERVICES;,BCA;,,Monitors / Video Display;Projection Technology Projectors;,2019CTA
2019CTA-000698,,,,,"Smart Speaker with DVB-T2/C/ISDB-T Tuner,Android TV smart speaker;HD HDMI Dongle，Android TV Stick Yoga 4K,Google chromecast streaming for watching HD/4K movie on big TV screen;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190308162615511.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190308163024688.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,CHINA,4B1-01,,Shenzhen SEI Robotics is an Android Box Provider，IoT system Integrator  and Service Provider.,"SHENZHEN SEI ROBOTICS CO.,LTD.",,,,SEI Smart Speaker;SEI-400;,BCA;,,,2019CTA
2019CTA-000773,4K / UHD / HDR;,,,Signal Management & Processing;,"THEFINE's UHD Converter is one of the ways we are preparing for the oncoming UHD broadcasting generation, which will experience a greater need for HDR conversion technology in UHD shooting and editing sites.  The converters are supporing UHD interfaces like Quad-3G, 12G SDI and HDMI with LCD Preview and Touch Control. THEFINE's converter aligns with market changes - the rapid growth of UHD contents and TV markets.;THEFINE's UHD HDR Converter is supporting SDR, HDR PQ and HLG with UHD interfaces like 12G SDI and HDMI with LCD Preview and Touch Control.With Built-in Web Server, it is possible to monitor and control inputs and outputs settings including HDR management. ;",4K / UHD / HDR;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190326150340277.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190326153826027.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,KOREA,4M3-07,,"THEFINE established in 2016 and is developing UHD related products supporting 12G SDI and HDMI 2,0a/b.Compatibility issues are inevitable with changing standards. Switching from Digital to Analog or SD to HD is seamless with products such as the UHD Converter.THEFINE is developing technologies that can lead the global market, also THEFINE is preparing for compact 4K60P HDMI 2.0 and 12G-SDI broadcast POV camera modules.","THEFINE CO., Ltd.",,,,UHD Up/Down Scaling Cross Converter;UHD HDR Converter;,BCA;,,,2019CTA
2019CTA-000310,"Cloud Broadcasting / OTT;Connected / Digital / Smart TV Solutions;HbbTV / IPTV / IP Video / Broadband Video;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Set-Top Boxes;Workflow Software and Solutions – Distributions;",Ad Insertion;,,Systems Integration - Management & Systems;Video / Content Servers / Video Processing;,"Our O.one platform is a full range of tools in which a middleware, a CDN and transcoding solutions are united with a state-of-the-art user interface. We created an end‑to‑end solution for fast and secure delivery of media content across any device. The O.one platform also allows you to add other components to your projects such as A.I., voice assistants, and recommendation engine features.;OctoPUS is a web application which provides a Content Management System (CMS),  a Customer Right Management solution (CRM), and a full middleware solution based on our O.one platform. OctoPUS back office and middleware solutions are dynamically structured allowing an a-la-carte implementation. It enables the management of the subscriber database, the device database,the dealer database, the content itself (live TV, Catch-up TV, VOD…), the subscription tiers and pricing, and the statistics and analytics.;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190109182611005.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190109182853389.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,FRANCE,6M3-05,,"Vianeos is a French-based company founded in 2004 by broadcast and interactive TV experts. From the beginning, Vianeos focuses on the IPTV & OTT middleware server market with prestigious customers such as Etisalat, Batelco, Ooredoo and Dhiraagu. Today the main company product, the O.one platform, is deployed on several millions of set-top boxes and mobile devices around the world.",VIANEOS SAS,,,,O.one;OctoPUS;,BCA;,,,2019CTA
2019CTA-000044,4K / UHD / HDR;Cloud Broadcasting / OTT;Connected / Digital / Smart TV Solutions;Content Security;Digital Video Broadcasting (DVB);DTV / HDTV;HbbTV / IPTV / IP Video / Broadband Video;Video Transport;Workflow Software and Solutions – Distributions;,Management;Process;Security;,CG Animation;Colour Grading / Restoration;Digital Intermediate;Video Editing;Format Conversion;Motion Graphics ;Graphics Subtitling and Captioning;System Integration – Post Production;Workflow Software and Solutions – Post Production;,Content Security / Right Management;Digital Media Asset Management and Storage;IT / Networking Infrastructure & Security;Newsroom Automation / TV Automation Systems;Workflow Software and Solutions – Management & Systems;Signal Management & Processing;Systems Integration - Management & Systems;Video / Content Servers / Video Processing;Playout / Transmission;,"IHSE’s Draco ultra DisplayPort 1.2 is the world’s first 4K DisplayPort KVM extender with a 60 Hz refresh rate in full color depth (30 bit, 4:4:4), allowing users to operate DisplayPort video monitors, keyboards and mice over a single duplex fiber cable up to 10 km. DisplayPort 1.2 KVM extender is ideal for broadcast professionals wanting to distribute images up to 4K at a real 60 Hz refresh rate without any loss of signal Quality.;IHSE expands the connectivity of its KVM solutions to include location-independent access over an IP interface. This provides remote users with seamless and secure access to closed and self-contained Draco KVM installations.

The new Secure IP Remote Access Gateway CON module connects the KVM matrix to private or public TCP/IP networks. This allows very high performance remote access to matrix-connected target devices via an HTML browser or soft client.;",4K / UHD / HDR;Motion Capture / Virtual Production;News / Weather / Traffic Services;Sportscasting;Video / TV Display / Multi Viewers;Live Production;Workflow Software and Solutions – Acquisition;Production Switchers;Virtual Reality;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190502165659411.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190502165802428.jpeg;,,,,,,Integration;Management;Process;,,0a1250d6-323b-e911-95db-d89d671c94cf,SINGAPORE,6F3-01,,"IHSE is a leading developer and manufacturer of advanced KVM devices in global demand. KVM technology allows the switching, extension and conversion of primary computer signals and many others. IHSE develops and manufactures switches for operating and switching between computers and consoles, as well as extenders for visually lossless signal transmission, with more than 30 years of experience. Many renowned institutions across vertical sectors rely on KVM solutions made by IHSE, Germany.",IHSE GMBH ASIA PACIFIC PTE LTD,,Audio Mixer / Consoles / Modulator;Audio Post / Mastering / Effects;Audio Production / Networks / Process;Playout;Radio Automation Systems / Master Control;System Integration – Professional Audio / Radio;,,Displayport KVM Extender;Secure KVM access from anywhere via IP;,BCA;,,,2019CTA
2019CTA-000327,Content Security;Digital Rights Management;,Security;,,Content Security / Right Management;,"Irdeto Armor provides a pre-integrated DVB stack that works in combination with Irdeto conditional access and watermarking solutions to protect premium content like 4K UHD. The solution also offers security services to help operators combat a variety of threats on openplatforms, including Kodi-based piracy and potential attacks from malicious apps or unauthorized software.For introducing OTT apps into the app store, operators can leverage Irdeto’s highly scalable and reliable OTT security solution to manage multiple DRMs and business policies to achieve the widest customer reach.;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190301121704199.JPG;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,SINGAPORE,MEETING ROOM 312,,"Irdeto is the world leader in digital platform security, protecting platforms and applications for video entertainment, video games, connected transport and IoT connected industries. With 50 years of security expertise, Irdeto’s software security technology and cyberservices protect over 5 billion devices and applications for some of the world’s best-known brands.",IRDETO SINGAPORE PTE LTD,,,,Irdeto Armor for Android TV;,BCA;,,,2019CTA
2019CTA-000307,"Antennas, Transmitters and Towers;",,,,"The new TLWH7900E liquid cooled transmitter series represents a step ahead in energy efficiency optimization, giving today ´s broadcasters a space-saving and cost-efficient solution (30% space reduction as compared with the previous series) and providing an ideal service for the development or extending digital TV networks.The series employs asymmetric ultrawideband Doherty technology with a very careful design oriented to enhance power efficiency, covering with only one single model of amplifier from 470 to 700 MHz without the need for tuning or adjustment and optimized for 700 MHz spectrum clearance and reallocation.;The new Wideband - High Efficiency TUWH4000 Series represents a step ahead in the technology of high power UHF air cooled     transmitters. For the first time the Doherty technology becomes Wideband, meaning that it is applicable to the whole UHF band. Therefore, no modifications in the amplifiers are required when the operator needs to change the RF channel.The TUWH4000 transmitters features a market-leading energy efficiency. They offer an efficiency up to 42%, providing broadcasters with a high economic benefit.;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190213234321117.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190213234658603.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,SPAIN,4N2-08,,"TV transmitters, transposers and gap fillers for the main Digital TV standards and all the RF power range.Egatel is a highly specialized and skilled company on the development and manufacturing of Digital and RF products devoted to Terrestrial Broadcasting and Satellite Connectivity.On the Terrestrial Broadcasting, the company supplies solutions for Radio/TV Broadcasting that meet the professional market needs globally.",EGATEL S.L.,,,,TLWH7900E Series;TUWH4000 Series;,BCA;,,,2019CTA
2019CTA-000189,Cable and Satellite;Cloud Broadcasting / OTT;Content Security;DTV / HDTV;Microwave / RF Accessories;Set-Top Boxes;Video on Demand;,Analytics;Create;Delivery;Process;,Video Editing;Mastering and Duplication;Graphics Subtitling and Captioning;VFx Compositing;,Content Security / Right Management;Digital Media Asset Management and Storage;Newsroom Automation / TV Automation Systems;Signal Management & Processing;Video / Content Servers / Video Processing;,"Visit the GREAT Britain & Northern Ireland pavilion to find business partners at the world’s most important technology events. The British exhibitors at ConnecTechAsia 2018 show a wide range of products, services & technologies. The GREAT Britain & Northern Ireland pavilion at ConnecTechAsia is supported by Department for International Trade (DIT) which helps UK based businesses to ensure their success in international markets through exports. For further information please visit: www.great.gov.uk/us/It is sponsored by techUK, the trade association for the UK Technology industry. Its members account for over 80% of these markets and include blue-chip multinationals & early stage ;",Cable /  Connector;Cameras / Lenses / Tripods / Crane;Lighting and Grip;Sportscasting;Video / TV Display / Multi Viewers;,;,,,,,,Delivery;Integration;Management;Hardware;,,0a1250d6-323b-e911-95db-d89d671c94cf,UK,6J2/J3/J4,Associations / Trade Partners;Government / Agencies;,"Visit the GREAT Britain & Northern Ireland pavilion to find business partners at the world’s most important technology events. The British exhibitors at BroadcastAsia 2019 show a wide range of products, services & technologies. The GREAT Britain & Northern Ireland pavilion at BroadcastAsia is supported by Department for International Trade (DIT) which helps UK based businesses to ensure their success in international markets through exports. For further information please visit: www.great.gov.uk/us/",TRADEFAIR SUPPORT LTD,,Audio Codecs;Audio Mixer / Consoles / Modulator;Audio Post / Mastering / Effects;Audio Production / Networks / Process;Intercom / Talkback;Playout;Radio Automation Systems / Master Control;System Integration – Professional Audio / Radio;,,UK Pavilion ;,BCA;,,Monitors / Video Display;,2019CTA
2019CTA-000548,4K / UHD / HDR;Cloud Broadcasting / OTT;Encoder / Decoder;HbbTV / IPTV / IP Video / Broadband Video;Video on Demand;,Analytics;Ad Insertion;Delivery;Store;,,,"Anevia’s end-to-end OTT video-delivery solution includes encoding, packaging, Cloud DVR and CDN components that are already pre-integrated and tested to work together. This enables operators to cut integration costs and get to market much more quickly.With Anevia’s end-to-end OTT video-delivery solution, operators can offer all the next-generation TV viewing experiences – including 4K with HDR, ultra-low latency, and targeted advertising through dynamic ad insertion – while meeting the need for ever more storage.;NEA-CDN 5.0, the world’s first Cloud-native CDN solution, makes it easy for operators to build their own CDN for OTT video delivery, and to offer all the next-generation services and features they need, including live TV, time-shift, VOD, and ultra-low latency.Three features make it easy to deploy and manage:1.Elasticity: operators can easily scale their OTT service up for peak viewing, and then scale down again2.One-click deployment3.Easy operation, thanks to a centralised management and analytics platform.Furthermore, NEA-CDN 5.0 ensures that viewers get the best-quality video possible – up to 4K and HDR.https://anevia.com/product/live-ott-encoding/;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190312224658894.jpg;,,,,,,Delivery;,,0a1250d6-323b-e911-95db-d89d671c94cf,FRANCE,4H2-04,,"Anevia offers an end-to-end OTT video-delivery solution that enables the delivery of live TV, streaming video, time-shifted TV and video-on-demand services, as well as ultra-low latency for live sporting events. Anevia’s comprehensive portfolio of video compression / encoding / packaging, Cloud DVR and CDN products enables viewers to enjoy a next-generation TV experience – anywhere, anytime and on any screen – including 4K UHD content. Major telecom and pay-TV operators, and TV broadcasters use Anevia’s solution.",ANEVIA,,,,NEA-CDN 5.0;NEA-CDN 5.0;,BCA;,,,2019CTA
